Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Parche
Xerath,Mage,MID,A,53.25,5.16,51.01%,38.11%,2.97%,5.53%,3.17,12.1
Xerath,Mage,SUPPORT,A,49.68,-5.49,49.84%,56.29%,4.76%,5.53%,2.54,12.1
Xin Zhao,Fighter,JUNGLE,A,57.04,1.14,50.23%,96.20%,6.76%,4.18%,2.44,12.1
Yasuo,Fighter,MID,God,86.16,-0.04,49.56%,71.44%,11.77%,24.41%,1.74,12.1
Yasuo,Fighter,TOP,B,39.96,-14.89,47.77%,16.35%,2.53%,24.41%,1.45,12.1
Yasuo,Fighter,ADC,C,34.41,-3.91,50.52%,11.70%,1.82%,24.41%,1.95,12.1
Yone,Assassin,MID,S,74.16,-7.47,48.42%,60.52%,9.35%,27.32%,1.84,12.1
Yone,Assassin,TOP,S,71.87,-20.17,47.59%,37.77%,5.42%,27.32%,1.58,12.1
Yorick,Fighter,TOP,B,46.07,-0.42,51.30%,96.77%,2.74%,2.26%,1.65,12.1
Yuumi,Support,SUPPORT,God,79.72,-2.67,47.77%,99.12%,10.75%,28.68%,4.11,12.1
Zac,Tank,JUNGLE,A,57.82,-0.01,51.43%,84.90%,4.39%,2.11%,3.61,12.1
Zed,Assassin,MID,God,90.5,-0.27,50.87%,67.21%,8.84%,41.88%,2.31,12.1
Zed,Assassin,JUNGLE,A,49.18,-5.06,48.63%,29.94%,3.34%,41.88%,2.47,12.1
Ziggs,Mage,ADC,B,43.63,-0.16,53.51%,68.66%,2.20%,0.60%,2.51,12.1
Ziggs,Mage,MID,C,36.44,-0.6,48.37%,24.85%,0.86%,0.60%,2.36,12.1
Zilean,Support,MID,A,52.2,1.35,54.19%,14.12%,0.56%,1.40%,3.46,12.1
Zilean,Support,SUPPORT,A,49.44,1.68,50.83%,81.95%,3.38%,1.40%,03.03,12.1
Zoe,Mage,MID,A,49.77,4.62,49.84%,94.18%,3.62%,1.41%,2.58,12.1
Zyra,Mage,SUPPORT,A,49.55,1.74,52.18%,92.46%,3.85%,1.96%,2.13,12.1
Aatrox,Fighter,TOP,A,55.11,-3.14,48.97%,94.09%,4.33%,1.97%,1.92,12.2
