MLP,Patente,Altura,Ancho,Largo,Modelo,Año,Largo Carga,Superficie Carga m3,Cantidad de Pallet,Capacidad de carga M3,Altura Carga,Ancho Carga,Tipo,SI
Intermedio,DOH503,3.35,2.35,7.3,MERCEDES BENZ 710,2000,5.3,12.455,9.716.666.667,23.32,2,2.2,Chasis Pesado,Si
Intermedio,KDB872,2.7,2.4,6,IVECO 170 E22T,2011,4,9.6,5.5,13.2,1.5,2.2,Chasis Liviano,Si
Intermedio,DVE667,3,2.35,7.15,MERCEDES BENZ LO814,2001,5.15,12.1025,8.4975,20.394,1.8,2.2,Chasis,Si
Intermedio,RYZ609,3.2,2.2,7.3,MERCEDES BENZ 709D 4250,1994,5.3,11.66,8.833.333.333,21.2,2,2,Chasis,Si
Intermedio,IIN595,3,2.3,7.2,IVECO DAILY 70C16 PASO 3750,2009,5.2,11.96,8.19,19.656,1.8,2.1,Chasis,Si
Intermedio,CKA498,02.05,2.26,6,DEUTZ AGRALE STARK-15 CH/CORTO,1998,4,09.04,2.918.333.333,7.004,0.85,02.06,Utilitario Largo,Si
Intermedio,SMP165,3,2.3,6,DEUTZ AGRALE DYNAMIC-11,1994,4,9.2,6.3,15.12,1.8,2.1,Chasis Liviano,Si
Intermedio,LAO002,3.1,2.5,7.2,FORD CARGO 915E,2012,5.2,13,9.056.666.667,21.736,1.9,2.2,Chasis,Si
Intermedio,OAL570,3.2,2.5,7.8,IVECO DAILY 70C16 PASO 4350,2014,5.8,14.5,1.063.333.333,25.52,2,2.2,Chasis Pesado,Si
Intermedio,AD382ZQ,3.2,2.4,7.5,ISUZU NRP75L,2018,5.5,13.2,1.008.333.333,24.2,2,2.2,Chasis Pesado,Si
Intermedio,MYG824,03.05,2.4,6.65,HYUNDAI HD78,2013,4.65,11.16,7.885.625,189.255,1.85,2.2,Chasis,Si
Intermedio,JWZ687,3.1,2.1,5.8,RENAULT MASTER PH3 120 PKCNF,2011,3.8,7.98,5.715.833.333,13.718,1.9,1.9,Chasis Liviano,Si
Intermedio,XKC945,2.85,2.2,6.25,MERCEDES BENZ L 608/35,1981,4.25,9.35,584.375,14.025,1.65,2,Chasis Liviano,Si
Loginter,AF172BL,3,2.13,6,CITROEN JUMPER CH 440 L3 HDI 130 MT6-AM20,2022,4,8.52,5.79,13.896,1.8,1.93,Chasis Liviano,Si
Loginter,AF338LI,3.2,2.13,5.8,MERCEDES BENZ SPRINTER 416 CDI CHASIS 3665,2022,3.8,8.094,6.111.666.667,14.668,2,1.93,Chasis Liviano,Si
Loginter,AB617NX,3.4,2.5,8,FORD CARGO 1119-42,2017,6,15,11,26.4,2,2.2,Chasis Pesado,Si
Loginter,AE369GO,3.7,2.6,8.1,MERCEDES BENZ ATEGO 1721 48,2020,6.1,15.86,1.118.333.333,26.84,2,2.2,Chasis Pesado,Si
Loginter,AF215DO,2.65,2.2,6.1,CITROEN JUMPER CH 440 L3 HDI 130 MT6-AM20,2022,4.1,09.02,4.954.166.667,11.89,1.45,2,Chasis Liviano,Si
Loginter,MLL146,3.1,2.6,7.1,MERCEDES BENZ 710,2013,5.1,13.26,8.8825,21.318,1.9,2.2,Chasis,Si
Loginter,AE971LV,3.1,2.4,7.8,MERCEDES BENZ ACCELO 815,2021,5.8,13.92,1.010.166.667,24.244,1.9,2.2,Chasis Pesado,Si
Loginter,DGE903,3.2,2.3,7.5,MERCEDES BENZ LO814,2000,5.5,12.65,9.625,23.1,2,2.1,Chasis Pesado,Si
Loginter,GIE137,3,2.35,7.5,MERCEDES BENZ 710,2000,5.5,12.925,9.075,21.78,1.8,2.2,Chasis,Si
Promail,OIC150,3,2,5.5,IVECO DAILY 55C16 PASO 3300,2014,3.5,7,4.725,11.34,1.8,1.8,Chasis Liviano,Si
Promail,AB586VH,3.4,2.5,7.1,CHEVROLET AGRALE A10000,2017,5.1,12.75,9.35,22.44,2,2.2,Chasis,Si
Promail,IIN595,3,2.3,7.2,IVECO DAILY 70C16 PASO 3750,2009,5.2,11.96,8.19,19.656,1.8,2.1,Chasis,Si
INTRALOG,JSL828,3.3,2.4,6.9,DFM DOULICA,2011,4.9,11.76,8.983.333.333,21.56,2,2.2,Chasis,Si
